KAYIT SIRA;ENDEKS KODU;ENDEKSLER;ENDEKSLERIN INGILIZCE ISIMLERI;KUR TURU;TARIH;KAPANIS;ACILIS;EN DUSUK;EN YUKSEK
ORDER;INDEX CODE;INDEX NAMES IN TURKISH;INDICES;CURRENCY TYPE;DATE;CLOSING VALUE;OPEN VALUE;LOWEST VALUE;HIGHEST VALUE
19;XUTUM_CFNNTLTL;BIST TUM GETIRI;BIST ALL SHARES RETURN;TRY;17/02/2026;33888.75;34026.64;33888.75;34226.2
20;XUTUM_CFNNTLUS;BIST TUM GETIRI (ABD DOLARI);BIST ALL SHARES RETURN (USD);USD;17/02/2026;4517.55;4517.55;4517.55;4517.55
21;XUTUM_CFNNTLER;BIST TUM GETIRI (EURO);BIST ALL SHARES RETURN (EURO);EUR;17/02/2026;4471.8;4471.8;4471.8;4471.8
22;XELOT_CFNNTLTL;BIST 50-30 GETIRI;BIST 50-30 RETURN;TRY;17/02/2026;11378.97;11480.82;11353.16;11480.82
23;XELOT_CFNNTLUS;BIST 50-30 GETIRI (ABD DOLARI);BIST 50-30 RETURN (USD);USD;17/02/2026;1516.88;1516.88;1516.88;1516.88
24;XELOT_CFNNTLER;BIST 50-30 GETIRI (EURO);BIST 50-30 RETURN (EURO);EUR;17/02/2026;1501.52;1501.52;1501.52;1501.52
25;XELOS_CFCNTLTL;BIST 50-30 AGIRLIK SINIRLAMALI 10 GETIRI;BIST 50-30 CAPPED 10 RETURN;TRY;17/02/2026;11216.69;11315.82;11190.38;11315.82
26;XELOS_CFCNTLUS;BIST 50-30 AGIRLIK SINIRLAMALI 10 GETIRI (ABD DOLARI);BIST 50-30 CAPPED 10 RETURN (USD);USD;17/02/2026;1495.25;1495.25;1495.25;1495.25
27;XELOS_CFCNTLER;BIST 50-30 AGIRLIK SINIRLAMALI 10 GETIRI (EURO);BIST 50-30 CAPPED 10 RETURN (EURO);EUR;17/02/2026;1480.1;1480.1;1480.1;1480.1
28;XELOC_CFCNTLTL;BIST 50-30 AGIRLIK SINIRLAMALI 25 GETIRI;BIST 50-30 CAPPED 25 RETURN;TRY;17/02/2026;11376;11477.83;11350.21;11477.83
29;XELOC_CFCNTLUS;BIST 50-30 AGIRLIK SINIRLAMALI 25 GETIRI (ABD DOLARI);BIST 50-30 CAPPED 25 RETURN (USD);USD;17/02/2026;1516.48;1516.48;1516.48;1516.48
30;XELOC_CFCNTLER;BIST 50-30 AGIRLIK SINIRLAMALI 25 GETIRI (EURO);BIST 50-30 CAPPED 25 RETURN (EURO);EUR;17/02/2026;1501.12;1501.12;1501.12;1501.12
31;XYUZO_CFNNTLTL;BIST 100-30 GETIRI;BIST 100-30 RETURN;TRY;17/02/2026;36477.94;36287.95;36287.95;36660.99
32;XYUZO_CFNNTLUS;BIST 100-30 GETIRI (ABD DOLARI);BIST 100-30 RETURN (USD);USD;17/02/2026;4862.71;4862.71;4862.71;4862.71
33;XYUZO_CFNNTLER;BIST 100-30 GETIRI (EURO);BIST 100-30 RETURN (EURO);EUR;17/02/2026;4813.46;4813.46;4813.46;4813.46
34;XTUMY_CFNNTLTL;BIST TUM-100 GETIRI;BIST ALL SHARES-100 RETURN;TRY;17/02/2026;89196.49;89043.29;88672.19;89390.24
35;XTUMY_CFNNTLUS;BIST TUM-100 GETIRI (ABD DOLARI);BIST ALL SHARES-100 RETURN (USD);USD;17/02/2026;11890.37;11890.37;11890.37;11890.37
