KAYIT SIRA;ENDEKS KODU;ENDEKSLER;ENDEKSLERIN INGILIZCE ISIMLERI;KUR TURU;TARIH;KAPANIS;ACILIS;EN DUSUK;EN YUKSEK
ORDER;INDEX CODE;INDEX NAMES IN TURKISH;INDICES;CURRENCY TYPE;DATE;CLOSING VALUE;OPEN VALUE;LOWEST VALUE;HIGHEST VALUE
59;XKOBI_CFNPTLUS;BIST KOBI SANAYI (ABD DOLARI);BIST SME INDUSTRIAL (USD);USD;17/02/2026;5682.29;5682.29;5682.29;5682.29
60;XKOBI_CFNPTLER;BIST KOBI SANAYI (EURO);BIST SME INDUSTRIAL (EURO);EUR;17/02/2026;5624.74;5624.74;5624.74;5624.74
61;XTMTU;BIST TEMETTU;BIST DIVIDEND;TRY;17/02/2026;15575.04;15764.86;15575.04;15809.44
62;XTMTU_CFNPTLUS;BIST TEMETTU (ABD DOLARI);BIST DIVIDEND (USD);USD;17/02/2026;2076.24;2076.24;2076.24;2076.24
63;XTMTU_CFNPTLER;BIST TEMETTU (EURO);BIST DIVIDEND (EURO);EUR;17/02/2026;2055.21;2055.21;2055.21;2055.21
64;XTM25;BIST TEMETTU 25;BIST DIVIDEND 25;TRY;17/02/2026;18166.48;18444.67;18166.48;18464.17
65;XTM25_CFNPTLUS;BIST TEMETTU 25 (ABD DOLARI);BIST DIVIDEND 25 (USD);USD;17/02/2026;2421.69;2421.69;2421.69;2421.69
66;XTM25_CFNPTLER;BIST TEMETTU 25 (EURO);BIST DIVIDEND 25 (EURO);EUR;17/02/2026;2397.16;2397.16;2397.16;2397.16
67;XKTUM;BIST KATILIM TUM;BIST PARTICIPATION ALL SHARES;TRY;17/02/2026;16036.34;16223.04;16027.39;16237.1
68;XKTUM_CFNPTLUS;BIST KATILIM TUM (ABD DOLARI);BIST PARTICIPATION ALL SHARES (USD);USD;17/02/2026;2137.73;2137.73;2137.73;2137.73
69;XKTUM_CFNPTLER;BIST KATILIM TUM (EURO);BIST PARTICIPATION ALL SHARES (EURO);EUR;17/02/2026;2116.08;2116.08;2116.08;2116.08
70;XK100;BIST KATILIM 100;BIST PARTICIPATION 100;TRY;17/02/2026;14975.84;15156.72;14965.66;15158.67
71;XK100_CFCPTLUS;BIST KATILIM 100 (ABD DOLARI);BIST PARTICIPATION 100 (USD);USD;17/02/2026;1996.36;1996.36;1996.36;1996.36
72;XK100_CFCPTLER;BIST KATILIM 100 (EURO);BIST PARTICIPATION 100 (EURO);EUR;17/02/2026;1976.14;1976.14;1976.14;1976.14
73;XK050;BIST KATILIM 50;BIST PARTICIPATION 50;TRY;17/02/2026;15150.99;15358.45;15131.53;15360.34
74;XK050_CFCPTLUS;BIST KATILIM 50 (ABD DOLARI);BIST PARTICIPATION 50 (USD);USD;17/02/2026;2019.71;2019.71;2019.71;2019.71
75;XK050_CFCPTLER;BIST KATILIM 50 (EURO);BIST PARTICIPATION 50 (EURO);EUR;17/02/2026;1999.25;1999.25;1999.25;1999.25
76;XK030;BIST KATILIM 30;BIST PARTICIPATION 30;TRY;17/02/2026;14674.01;14868.66;14652.62;14870.08
77;XK030_CFCPTLUS;BIST KATILIM 30 (ABD DOLARI);BIST PARTICIPATION 30 (USD);USD;17/02/2026;1956.13;1956.13;1956.13;1956.13
78;XK030_CFCPTLER;BIST KATILIM 30 (EURO);BIST PARTICIPATION 30 (EURO);EUR;17/02/2026;1936.31;1936.31;1936.31;1936.31
79;XSRDK;BIST KATILIM SURDURULEBILIRLIK;BIST PARTICIPATION SUSTAINABILITY;TRY;17/02/2026;16714.95;16949.63;16714.95;16960.36
80;XSRDK_CFCPTLUS;BIST KATILIM SURDURULEBILIRLIK (ABD DOLARI);BIST PARTICIPATION SUSTAINABILITY (USD);USD;17/02/2026;2228.19;2228.19;2228.19;2228.19
81;XSRDK_CFCPTLER;BIST KATILIM SURDURULEBILIRLIK (EURO);BIST PARTICIPATION SUSTAINABILITY (EURO);EUR;17/02/2026;2205.63;2205.63;2205.63;2205.63
82;XKTMT;BIST KATILIM TEMETTU;BIST PARTICIPATION DIVIDEND;TRY;17/02/2026;15598.9;15746.83;15591.96;15750.42
83;XKTMT_CFCPTLUS;BIST KATILIM TEMETTU (ABD DOLARI);BIST PARTICIPATION DIVIDEND (USD);USD;17/02/2026;2079.42;2079.42;2079.42;2079.42
84;XKTMT_CFCPTLER;BIST KATILIM TEMETTU (EURO);BIST PARTICIPATION DIVIDEND (EURO);EUR;17/02/2026;2058.36;2058.36;2058.36;2058.36
85;XKURY;BIST KURUMSAL YONETIM;BIST CORPORATE GOVERNANCE;TRY;17/02/2026;12505.9;12669.67;12505.9;12702.12
86;XKURY_CFNPTLUS;BIST KURUMSAL YONETIM (ABD DOLARI);BIST CORPORATE GOVERNANCE (USD);USD;17/02/2026;1667.1;1667.1;1667.1;1667.1
87;XKURY_CFNPTLER;BIST KURUMSAL YONETIM (EURO);BIST CORPORATE GOVERNANCE (EURO);EUR;17/02/2026;1650.22;1650.22;1650.22;1650.22
88;XUSRD;BIST SURDURULEBILIRLIK;BIST SUSTAINABILITY;TRY;17/02/2026;18660.95;18892.53;18660.95;18945.57
89;XUSRD_CFCPTLUS;BIST SURDURULEBILIRLIK (ABD DOLARI);BIST SUSTAINABILITY (USD);USD;17/02/2026;2487.61;2487.61;2487.61;2487.61
90;XUSRD_CFCPTLER;BIST SURDURULEBILIRLIK (EURO);BIST SUSTAINABILITY (EURO);EUR;17/02/2026;2462.41;2462.41;2462.41;2462.41
91;XSD25;BIST SURDURULEBILIRLIK 25;BIST SUSTAINABILITY 25;TRY;17/02/2026;18413.96;18666.56;18413.96;18711.12
92;XSD25_CFCPTLUS;BIST SURDURULEBILIRLIK 25 (ABD DOLARI);BIST SUSTAINABILITY 25 (USD);USD;17/02/2026;2454.68;2454.68;2454.68;2454.68
93;XSD25_CFCPTLER;BIST SURDURULEBILIRLIK 25 (EURO);BIST SUSTAINABILITY 25 (EURO);EUR;17/02/2026;2429.82;2429.82;2429.82;2429.82
94;XTM25S;BIST TEMETTU 25 AGIRLIK SINIRLAMALI 10;BIST DIVIDEND 25 CAPPED 10;TRY;17/02/2026;18180.94;18460.15;18180.94;18476.3
95;XTM25S_CFCPTLUS;BIST TEMETTU 25 AGIRLIK SINIRLAMALI 10 (ABD DOLARI);BIST DIVIDEND 25 CAPPED 10 (USD);USD;17/02/2026;2423.62;2423.62;2423.62;2423.62
96;XTM25S_CFCPTLER;BIST TEMETTU 25 AGIRLIK SINIRLAMALI 10 (EURO);BIST DIVIDEND 25 CAPPED 10 (EURO);EUR;17/02/2026;2399.07;2399.07;2399.07;2399.07
97;XT05Y;BIST TEMETTU 5 YIL;BIST DIVIDEND 5 YEARS;TRY;17/02/2026;15683.44;15897.73;15683.44;15955.28
98;XT05Y_CFNPTLUS;BIST TEMETTU 5 YIL (ABD DOLARI);BIST DIVIDEND 5 YEARS (USD);USD;17/02/2026;2090.69;2090.69;2090.69;2090.69
99;XT05Y_CFNPTLER;BIST TEMETTU 5 YIL (EURO);BIST DIVIDEND 5 YEARS (EURO);EUR;17/02/2026;2069.51;2069.51;2069.51;2069.51
100;XT10Y;BIST TEMETTU 10 YIL;BIST DIVIDEND 10 YEARS;TRY;17/02/2026;15789.23;16053.63;15789.23;16099.69
101;XT10Y_CFNPTLUS;BIST TEMETTU 10 YIL (ABD DOLARI);BIST DIVIDEND 10 YEARS (USD);USD;17/02/2026;2104.79;2104.79;2104.79;2104.79
102;XT10Y_CFNPTLER;BIST TEMETTU 10 YIL (EURO);BIST DIVIDEND 10 YEARS (EURO);EUR;17/02/2026;2083.47;2083.47;2083.47;2083.47
103;XUGRA;BIST GERI ALIM;BIST BUYBACK;TRY;17/02/2026;14253.8;14288.63;14222.85;14375.06
104;XUGRA_CFCPTLUS;BIST GERI ALIM (ABD DOLARI);BIST BUYBACK (USD);USD;17/02/2026;1900.11;1900.11;1900.11;1900.11
105;XUGRA_CFCPTLER;BIST GERI ALIM (EURO);BIST BUYBACK (EURO);EUR;17/02/2026;1880.86;1880.86;1880.86;1880.86
106;XUSIN;BIST SINAI;BIST INDUSTRIALS;TRY;17/02/2026;17243.02;17481.87;17243.02;17481.87
107;XUSIN_CFNPTLUS;BIST SINAI (ABD DOLARI);BIST INDUSTRIALS (USD);USD;17/02/2026;2298.59;2298.59;2298.59;2298.59
108;XUSIN_CFNPTLER;BIST SINAI (EURO);BIST INDUSTRIALS (EURO);EUR;17/02/2026;2275.31;2275.31;2275.31;2275.31
109;XSINS;BIST SINAI AGIRLIK SINIRLAMALI;BIST INDUSTRIALS CAPPED;TRY;17/02/2026;17243.02;17481.87;17243.02;17481.87
110;XSINS_CFCPTLUS;BIST SINAI AGIRLIK SINIRLAMALI (ABD DOLARI);BIST INDUSTRIALS CAPPED (USD);USD;17/02/2026;2298.59;2298.59;2298.59;2298.59
111;XSINS_CFCPTLER;BIST SINAI AGIRLIK SINIRLAMALI (EURO);BIST INDUSTRIALS CAPPED (EURO);EUR;17/02/2026;2275.31;2275.31;2275.31;2275.31
112;XGIDA;BIST GIDA ICECEK;BIST FOOD BEVERAGE;TRY;17/02/2026;15789.46;15902.96;15789.46;15944.37
113;XGIDA_CFNPTLUS;BIST GIDA ICECEK (ABD DOLARI);BIST FOOD BEVERAGE (USD);USD;17/02/2026;2104.82;2104.82;2104.82;2104.82
114;XGIDA_CFNPTLER;BIST GIDA ICECEK (EURO);BIST FOOD BEVERAGE (EURO);EUR;17/02/2026;2083.5;2083.5;2083.5;2083.5
115;XKMYA;BIST KIMYA PETROL PLASTIK;BIST CHEM. PETROL PLASTIC;TRY;17/02/2026;15044.83;15286.44;15044.83;15326
116;XKMYA_CFNPTLUS;BIST KIMYA PETROL PLASTIK (ABD DOLARI);BIST CHEM. PETROL PLASTIC (USD);USD;17/02/2026;2005.56;2005.56;2005.56;2005.56
117;XKMYA_CFNPTLER;BIST KIMYA PETROL PLASTIK (EURO);BIST CHEM. PETROL PLASTIC (EURO);EUR;17/02/2026;1985.25;1985.25;1985.25;1985.25
118;XMADN;BIST MADENCILIK;BIST MINING;TRY;17/02/2026;16407.2;16521.67;16230.91;16573.53
119;XMADN_CFNPTLUS;BIST MADENCILIK (ABD DOLARI);BIST MINING (USD);USD;17/02/2026;2187.17;2187.17;2187.17;2187.17
120;XMADN_CFNPTLER;BIST MADENCILIK (EURO);BIST MINING (EURO);EUR;17/02/2026;2165.02;2165.02;2165.02;2165.02
121;XMANA;BIST METAL ANA;BIST BASIC METAL;TRY;17/02/2026;22500.18;22917.94;22500.18;22946.67
122;XMANA_CFNPTLUS;BIST METAL ANA (ABD DOLARI);BIST BASIC METAL (USD);USD;17/02/2026;2999.4;2999.4;2999.4;2999.4
123;XMANA_CFNPTLER;BIST METAL ANA (EURO);BIST BASIC METAL (EURO);EUR;17/02/2026;2969.02;2969.02;2969.02;2969.02
124;XMESY;BIST METAL ESYA MAKINA;BIST METAL PRODUCTS MACH.;TRY;17/02/2026;25571.2;26020.93;25538.79;26020.93
125;XMESY_CFNPTLUS;BIST METAL ESYA MAKINA (ABD DOLARI);BIST METAL PRODUCTS MACH. (USD);USD;17/02/2026;3408.78;3408.78;3408.78;3408.78
