entry_date,exit_date,tickers,ret,equity
2017-06-29,2017-07-06,"TKNSA,DGKLB,HDFGS,KLGYO,IPEKE",0.01939020176534312,1.4737145826936233
2017-07-06,2017-07-13,"KOZAA,TUKAS,HDFGS,IPEKE,KLGYO",0.056111553244846624,1.5564069969681436
2017-07-13,2017-07-20,"KOZAA,IPEKE,DYOBY,TUKAS,KLGYO",0.012973386882187438,1.576598867085955
2017-07-20,2017-07-27,"KOZAA,KIPA,HDFGS,IPEKE,GOZDE",0.05517953833835938,1.6635948647165384
2017-07-27,2017-08-03,"KOZAA,TKFEN,YKGYO,IPEKE,KIPA",0.03094320016299416,1.7150718136055914
2017-08-03,2017-08-10,"IHLGM,TKFEN,KOZAA,KLGYO,IHLAS",0.16940521629150118,2.0056139251449037
2017-08-10,2017-08-17,"PRKME,IPEKE,TKFEN,KLGYO,KOZAA",-0.06551977644766138,1.874206549129093
2017-08-17,2017-08-24,"METRO,TUKAS,AVTUR,MEPET,GLYHO",-0.02440275757289122,1.8284707410691705
2017-09-05,2017-09-12,"BMEKS,DYOBY,HURGZ,ZOREN,KRDMD",0.06790903308116424,1.9526404211123778
2017-09-08,2017-09-15,"BMEKS,HURGZ,KRDMD,KOZAA,DYOBY",0.019644567598334453,1.9909991978601604
2017-09-15,2017-09-22,"MARTI,HURGZ,IHLAS,TRCAS,KRSTL",-0.061167912505154305,1.8692139331276179
2017-09-22,2017-09-29,"TUKAS,ICBCT,AKENR,ALCTL,SASA",-0.013751662095757162,1.8435091347345656
2017-10-20,2017-10-27,"BANVT,NETAS,KLGYO,AVGYO,GSRAY",-0.006331941292136023,1.83183614312191
2017-10-27,2017-11-03,"ARCLK,HDFGS,YYAPI,HALKB,YGYO",-0.034675312581532745,1.7683166522610083
2017-11-03,2017-11-10,"MIPAZ,KARSN,KOZAA,ANELE,DYOBY",0.0072092756269775665,1.7810649344029321
2017-11-10,2017-11-17,"KRSTL,HALKB,KARSN,SKBNK,CEMAS",-0.041697228576820775,1.7067994627229728
2017-12-15,2017-12-22,"GOZDE,SASA,THYAO,GEREL,TKFEN",0.05477595793735896,1.8002910383005932
2017-12-22,2017-12-29,"SKBNK,THYAO,KRDMD,HDFGS,SASA",0.04178220695921187,1.8755111710496832
2017-12-29,2018-01-08,"KRDMD,THYAO,SASA,SKBNK,ALBRK",0.0424858681792251,1.955193891431564
2018-01-05,2018-01-12,"THYAO,SASA,KRDMD,KOZAL,KARSN",0.00016704601970110242,1.955520498788872
2018-01-12,2018-01-19,"KARSN,MRGYO,VESTL,GUSGR,KOZAL",-0.012420665673282138,1.9312316324561654
2018-01-19,2018-01-26,"CEMTS,MRGYO,VESTL,KARSN,ZOREN",0.061323253169214,2.0496610387816694
2018-01-26,2018-02-02,"HDFGS,CEMTS,ODAS,GEREL,GLYHO",-0.03239604153200043,1.9832601346427754
2018-02-02,2018-02-09,"GEREL,AKSEN,ZOREN,NTHOL,THYAO",0.0012123240647592768,1.9856644886306805
2018-02-09,2018-02-16,"CEMTS,KERVT,KOZAL,SASA,HDFGS",-0.009773951389829975,1.9662567004422926
2018-03-09,2018-03-16,"OZGYO,CEMAS,GEREL,GSRAY,KAREL",0.02014728843076884,2.005871441315035
2018-03-16,2018-03-23,"KRDMD,KIPA,GEREL,OZGYO,ADESE",-0.007259846229233809,1.9913091230954765
2018-03-23,2018-03-30,"CEMAS,VAKKO,SASA,KRDMD,GEREL",-0.06535517126861964,1.8611667743068068
2018-03-30,2018-04-06,"CEMAS,TEKTU,AYEN,GOZDE,MIPAZ",-0.017492230736368575,1.8286108156517693
2018-04-06,2018-04-13,"AYEN,CEMAS,ISFIN,TEKTU,KOZAL",-0.03847319108607079,1.758258322319143
2018-07-06,2018-07-13,"TKNSA,ASELS,BNTAS,VAKKO,SASA",-0.0746597751243601,1.6269871513642613
2018-07-13,2018-07-20,"ISFIN,VAKBN,KIPA,HALKB,GARAN",0.05986845666193576,1.724392361125239
2018-07-20,2018-07-27,"ISCTR,THYAO,TAVHL,YKBNK,HALKB",0.03686004254432756,1.7879535369194286
2018-08-10,2018-08-17,"ODAS,BEYAZ,ANACM,ISFIN,SODA",-0.010180536057528174,1.7697512114676353
2018-09-18,2018-09-25,"TIRE,ADESE,EGEEN,HURGZ,MAVI",-0.03372639920628578,1.71006387561387
2018-09-25,2018-10-02,"SISE,CEMTS,TIRE,TKFEN,ADESE",-0.03392510468617081,1.6520497796136304
2018-10-02,2018-10-09,"VERUS,DOHOL,MGROS,TTKOM,HURGZ",0.034529238466121416,1.7090938004118126
2018-10-09,2018-10-16,"GEREL,ITTFH,DGKLB,AEFES,AKSEN",0.0017499897236323142,1.7120846969992571
2018-10-16,2018-10-23,"ADNAC,MPARK,SOKM,ICBCT,GEREL",-0.021609163374904396,1.6750879790701265
2018-11-28,2018-12-05,"ICBCT,EREGL,ISDMR,ISGSY,HURGZ",0.04423871672030065,1.7491917216577908
2018-12-05,2018-12-12,"ICBCT,ISFIN,KOZAA,IPEKE,ITTFH",-0.05543200695403879,1.652230513978909
2018-12-12,2018-12-19,"ITTFH,ICBCT,ADESE,EREGL,CEMAS",-0.30164550334468776,1.153842608948289
2018-12-19,2018-12-26,"BEYAZ,AVOD,FLAP,KLGYO,DGKLB",-0.03461840298524843,1.1138984205301667
2019-01-17,2019-01-24,"ICBCT,ALYAG,TUKAS,NIBAS,IPEKE",0.05825183800990349,1.1787850508823774
2019-01-24,2019-01-31,"ISCTR,NIBAS,TUKAS,NIBAS,ALYAG",0.03377746456016286,1.2186014211626068
2019-01-31,2019-02-07,"TUKAS,TTKOM,VAKBN,ISCTR,ISFIN",0.028090759616563255,1.2528328607528878
